State,How to,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Requirements,Deadlines,,,
,Online,,,,,,,By mail (intro),,,,By mail (steps),,,By mail (deadline & address),,,,,In person,,,,,,,,,,,Check if you're registered title,Check if you're registered link,,Online,Received by,Mail by,In person
,Step 1 title,Step 1 content,Step 1 link,Step 2 title,Step 2 content,Step 2 link,Change party or address info,Step 1 title,Step 1 content,Step 1 link,Change party or address info,Step 2 title,Step 2 content,Step 2 link,Step 3 title,Step 3 content,Step 3 link,Step 4 title,Step 4 content,Step 1 title,Step 1 content,Step 1 link,Change party or address info,Step 2 title,Step 2 content,Step 2 link,Step 3 title,Step 3 content,Step 4 title,Step 4 content,,,,,,,
Alabama,Register online,You'll need an Alabama driver’s license or non-driver's ID card to register online,[Register online](https://www.alabamavotes.gov/olvr/default.aspx),,,,,1. Get the voter registration form,"Download the Alabama voter registration form or request a form be mailed to you by calling [1-800-274-8683 (VOTE)](tel:1-800-274-8683),or by [applying online](https://www.alabamavotes.gov/vb/vr-req.aspx?a=voters)",[Get the form](https://www.alabamavotes.gov/downloads/election/vr/nvra-2.pdf),,2. Fill out the form,"**Step 1–2** · Check the boxes to indicate you're a US citizen and will be 18 by Election Day, Nov 8

**Step 3** · Provide your name

**Step 4** · If you're reporting a name change, provide your previous name

**Step 5** · Provide your birthday

**Steps 6–7** · Provide your phone number and email address

**Step 8** · Provide the address where you live, your mailing address (if different), and your former address if you're reporting an address change

- _If your home doesn't have a street number or name, draw a map in the box provided on the form_

**Step 9** · Provide your gender

**Step 10** · Provide your race

**Step 11** · Provide information about where you were born

**Step 12** · Provide your valid driver’s license or ID card number

- _If you don't have one, provide the last 4 digits of your Social Security number. If you don't have any of these, check the appropriate box._

**Step 13** · Sign and date the form",,3. Send the form,Mail the form by **Oct 24** to your local [county board of registrars](https://www.alabamavotes.gov/vb/borjop1.aspx),,,,1. Get the voter registration form,You can pick up a voter registration form at your local [county board of registrars](https://www.alabamavotes.gov/vb/borjop1.aspx),,,2. Fill out the form,"**Step 1–2** · Check the boxes to indicate you're a US citizen and will be 18 by Election Day, Nov 8

**Step 3** · Provide your name

**Step 4** · If you're reporting a name change, provide your previous name

**Step 5** · Provide your birthday

**Steps 6–7** · Provide your phone number and email address

**Step 8** · Provide the address where you live, your mailing address (if different), and your former address if you're reporting an address change

- _If your home doesn't have a street number or name, draw a map in the box provided on the form_

**Step 9** · Provide your gender

**Step 10** · Provide your race

**Step 11** · Provide information about where you were born

**Step 12** · Provide your valid driver’s license or ID card number. 

- _If you don't have one, provide the last 4 digits of your Social Security number. If you don't have any of these, check the appropriate box._

**Step 13** · Sign and date the form",,3. Return the form,Return the form by **Oct 24** to your local [county board of registrars](https://www.alabamavotes.gov/vb/borjop1.aspx),,,Check if you're registered to vote,https://myinfo.alabamavotes.gov/VoterView/RegistrantSearch.do,"- Be a US citizen
- Live at an Alabama address
- Be 18 years old on Election Day, Nov 8
- Not have been convicted of a disqualifying felony (unless your civil and political rights have been restored)
- Not been legally declared mentally incompetent by a court",2016-10-24,,2016-10-24,2016-10-24
Alaska,Register online,You'll need a valid Alaska driver’s license or state ID card to register online,[Register online](https://voterregistration.alaska.gov/),,,,,1. Get the voter registration form,Download and print the Alaska voter registration form or call [(866) 952-8683](tel:866-952-8683) to have one sent to you,[Get the form](https://www.elections.alaska.gov/doc/forms/C03.pdf),,2. Fill out the form,"**Step 1** · Check the boxes to indicate you're a US citizen and are 18 years old, or will be within 90 days of filling out the application

**Step 2** · Provide your name 

**Step 3** · If you're reporting a name change, provide your former name

**Step 4** · Provide your address 

**Step 5** · Provide your mailing address

**Step 6** · Provide your Alaska voter number if you know it

**Steps 7–8** · If applicable, check the box to indicate you'd like information on alternative voting due to a disability or that you're interested in serving as an election official

**Step 9** · Provide your phone number, evening phone number, and email address

**Step 10** · Provide your Alaska driver’s license or ID card number

- _If you don't have one, provide the last 4 digits of your Social Security number. If you don't have any of these, check the appropriate box._

**Step 11** · Provide your birthday

**Step 12** · Provide your gender

**Step 13** · Provide your political affiliation, or state that you're nonpartisan or undeclared 

**Step 14** · If you're reporting a change of address, provide your previous address information

**Step 15** · Sign and date the form

**Step 16** · If you're registering in Alaska for the first time, include a copy of your ID to verify your identity. If you don’t include ID with your registration, you'll be required to show ID before you can vote.

- _Accepted IDs include a driver’s license, state ID card, passport, hunting or fishing license, or birth certificate_",,3. Send the form,Mail the form by **Oct 9** to your [regional elections office](https://www.elections.alaska.gov/csm_contact_reo.php). You can also fax or scan and email it to your regional elections office.,,,,1. Get the voter registration form,"Pick up the voter registration form at your [regional elections office](https://www.elections.alaska.gov/csm_contact_reo.php), an Alaska Division of Motor Vehicle office, participating public libraries, or many other government offices",,,2. Fill out the form,"**Step 1** · Check the boxes to indicate you're a US citizen and are 18 years old, or will be within 90 days of filling out the application

**Step 2** · Provide your name 

**Step 3** · If you're reporting a name change, provide your former name 

**Step 4** · Provide your address 

**Step 5** · Provide your mailing address

**Step 6** · Provide your Alaska voter number if you know it

**Steps 7–8** · If applicable, check the box to indicate you'd like information on alternative voting due to a disability or that you're interested in serving as an election official

**Step 9** · Provide your phone number, evening phone number, and email address

**Step 10** · Provide your Alaska driver’s license or ID card number

- _If you don't have one, provide the last 4 digits of your Social Security number. If you don't have any of these, check the appropriate box._

**Step 11** · Provide your birthday

**Step 12** · Provide your gender

**Step 13** · Provide your political affiliation, or state that you're nonpartisan or undeclared 

**Step 14** · If you're reporting a change of address, provide your previous address information

**Step 15** · Sign and date the form",,3. Return the form,Return the form by **Oct 9** to your [regional elections office](https://www.elections.alaska.gov/csm_contact_reo.php) or other government office where you picked up the form,,,Check if you're registered to vote,https://myvoterinformation.alaska.gov/,"- Be a US citizen
- Be 18 years old or within 90 days of your 18th birthday
- Live at an Alaska address by Oct 9
- Not be registered to vote in another state unless you're willing to cancel that registration
- Not have been convicted of certain felonies, unless you're discharged from incarceration, probation, and/or parole without conditions",2016-10-09,,2016-10-09,2016-10-09
Arizona,Register online,You'll need an Arizona driver’s license or non-driver's ID card to register online,[Register online](https://servicearizona.com/webapp/evoter/selectLanguage),,,,,1. Get the voter registration form,"Download and print the Arizona voter registration form, or contact your [county recorder](http://www.azsos.gov/elections/voting-election/contact-information-county-election-officials) to request one by mail",[Get the form](http://www.azsos.gov/sites/azsos.gov/files/voter_registration_form.pdf),,2. Fill out the form,"**Step 1** · (Optional) Check the box to indicate if you want to receive an early ballot by mail  

**Step 2** · Provide your name

**Steps 3–6** · Provide your address. If you don't have a street address, enter a description of where you live.

**Step 7** · Add your mailing address, if different from the address where you live.

**Steps 8–9** · Provide the last 4 digits of your Social Security number; provide your Arizona driver’s license number or nonoperating license number

**Steps 10–11** · Provide your tribal identification number (if you have one); provide your alien registration number (if you have one)

**Steps 12–13** · Provide your birthday and state or county where you were born

**Step 14** · Provide your political party

**Steps 15–16** · (Optional) Provide your phone number and occupation

**Step 17** · If you were registered to vote in another state, list your former address

**Step 18** · If you're reporting a name change, provide your previous name

**Steps 19–21** · (Optional) Provide your father’s name or your mother’s maiden name; indicate if you're willing to work at a polling place on Election Day; and provide your email address

**Step 22** · Check the boxes to indicate you're a US citizen and will be 18 by Election Day, Nov 8

**Step 23** · Sign and date the form

**Step 24** · If this is your first time registering to vote in Arizona or you've moved counties, you must provide proof of US citizenship

- _If you have an Arizona driver’s license or nonoperating identification issued after Oct 1, 1996, provide that number in Step 9 above. If not, you must attach a copy of one of the following:_

- _A birth certificate and marriage certificate or other documentation if your name has changed_

- _US passport_

- _Naturalization documents (or fill in your Alien Registration Number in Step 11)_

- _A copy of your Tribal Certificate of Indian Blood or Tribal or Bureau of Indian Affairs Affidavit of Birth (or enter your Indian Census Number, Bureau of Indian Affairs Card Number, Tribal Treaty Card Number, or Tribal Enrollment Number in box #10)_",,3. Send the form,Mail the form by **Oct 8** to your local [county recorder](http://www.azsos.gov/elections/voting-election/contact-information-county-election-officials),,,,1. Get the voter registration form,Pick up the voter registration form at your local [county recorder](http://www.azsos.gov/elections/voting-election/contact-information-county-election-officials),,,2. Fill out the form,"**Step 1** · (Optional) Check the box to indicate if you want to receive an early ballot by mail  

**Step 2** · Provide your name

**Steps 3–6** · Provide your address. If you don't have a street address, enter a description of where you live.

**Step 7** · Add your mailing address, if different from the address where you live

**Steps 8–9** · Provide the last 4 digits of your Social Security number; provide your Arizona driver’s license number or non operating license number

**Steps 10–11** · Provide your tribal identification number (if you have one); provide your alien registration number (if you have one)

**Steps 12–13** · Provide your birthday and state or county where you were born

**Step 14** · Provide your political party

**Steps 15–16** · (Optional) Provide your phone number and occupation

**Step 17** · If you were registered to vote in another state, list your former address

**Step 18** · If you're reporting a name change, provide your previous name

**Steps 19–21** · (Optional) Provide your father’s name or your mother’s maiden name; indicate if you're willing to work at a polling place on Election Day; and provide your email address

**Step 22** · Check the boxes to indicate you're a US citizen and will be 18 by Election Day, Nov 8

**Step 23** · Sign and date the form

**Step 24** · If this is your first time registering to vote in Arizona or you've moved counties, you must provide proof of US citizenship

If you have an Arizona driver’s license or nonoperating identification issued after Oct 1, 1996, provide that number in Step 9 above

If not, you must attach a copy of one of the following:

- _A birth certificate and marriage certificate or other documentation if your name has changed_

- _US passport_

- _Naturalization documents (or fill in your Alien Registration Number in Step 11)_

- _A copy of your Tribal Certificate of Indian Blood or Tribal or Bureau of Indian Affairs Affidavit of Birth (or enter your Indian Census Number, Bureau of Indian Affairs Card Number, Tribal Treaty Card Number, or Tribal Enrollment Number in box #10)_",,3. Return the form,Return the form by **Oct 10** to your local [county recorder](http://www.azsos.gov/elections/voting-election/contact-information-county-election-officials),,,Check if you're registered to vote,https://voter.azsos.gov/VoterView/RegistrantSearch.do,"- Be a US citizen
- Be a resident of Arizona by Oct 10
- Be 18 years by Election Day, Nov 8
- Not have been convicted of treason or a felony (unless your civil rights have been restored)
- Not been legally declared an incapacitated person by a court",2016-10-10,,2016-10-08,2016-10-10
Arkansas,,,,,,,,1. Get the voter registration form,"Download and print the Arkansas voter registration form, request a voter registration [application online](http://www.sos.arkansas.gov/elections/Pages/request-app-through-mail.aspx/), or call [1-800-482-1127](tel:1-800-482-1127) to request a form be mailed to you",[Get the form](http://www.sos.arkansas.gov/elections/Documents/ArkansasVoterRegistrationApplication.pdf),,2. Fill out the form,"**Step 1** · Check the boxes to indicate if you’re registering for the first time or reporting a name, address, or political party change. Provide your full name.

**Step 2** · Provide your address

**Step 3** · Provide your mailing address, if different from Step 2

**Step 4-7** · Provide your date of birth, your phone number (optional), political party affiliation (optional), and email address (optional)

**Step 8** · Check the box to indicate if you've voted before in Arkansas

**Step 9** · Provide your valid Arkansas driver’s license or ID card number

- _If you don't have one, provide the last 4 digits of your Social Security number. If you don't have any of these, check the appropriate box._

**Step 10** · Respond to the questions indicating whether you're a citizen; whether you'll be 18 by Election Day, Nov 8; whether you've been judged mentally incompetent by a court; and whether you've been convicted of a felony without fully discharging your sentence (including probation and parole)

**Step 11** · Sign and date the form

**Step 12** · If you’re registering in Arkansas for the first time and don't have an Arkansas driver’s license number or a Social Security number, include a copy of a photo ID, utility bill, bank statement, government check, paycheck or other government document that shows your name and address",,3. Send the form,Mail the form by **Oct 10** to your local [county clerk](http://www.sos.arkansas.gov/elections/Documents/Revised%20County%20Clerks%20List.pdf),,,,1. Get the voter registration form,"Voter registration forms are available at your local [county clerk](http://www.sos.arkansas.gov/elections/Documents/Revised%20County%20Clerks%20List.pdf) or at one of the following locations: 

- State Revenue Office or Driver Services Office
- Public library or Arkansas State Library
- Public assistance agency
- Disability agency
- Military recruitment office
- Arkansas National Guard",,,2. Fill out the form,"**Step 1** · Check the boxes to indicate if you’re registering for the first time or reporting a name, address, or political party change. Provide your full name.

**Step 2** · Provide your address

**Step 3** · Provide your mailing address, if different from Step 2

**Step 4–7** · Provide your date of birth, your phone number (optional), political party affiliation (optional), and email address (optional)

**Step 8** · Check the box to indicate if you've voted before in Arkansas

**Step 9** · Provide your valid Arkansas driver’s license or ID card number

- _If you don't have one, provide the last 4 digits of your Social Security number. If you don't have any of these, check the appropriate box._

**Step 10** · Respond to the questions indicating whether you're a citizen; whether you'll be 18 by Election Day, Nov 8; whether you've been judged mentally incompetent by a court; and whether you've been convicted of a felony without fully discharging your sentence (including probation and parole)

**Step 11** · Sign and date the form",,3. Return the form,Return your voter registration form by **Oct 10** at your local [county clerk](http://www.sos.arkansas.gov/elections/Documents/Revised%20County%20Clerks%20List.pdf) or other government office where you picked up the voter registration form,,,Check if you're registered to vote,https://www.voterview.ar-nova.org/VoterView/RegistrantSearch.do,"- Be a US citizen
- Live at an Arkansas address by Oct 9
- Be 18 years old on Election Day, Nov 8
- Not be serving a sentence (including parole) for a felony conviction
- Not been legally declared mentally incompetent by a court",,,2016-10-10,2016-10-10
California,Register online,"If you have one, you'll need your CA driver’s license, CA ID card number, or last 4 digits of your Social Security number to register online.",[Register online](http://registertovote.ca.gov/),,,,,1. Get the voter registration form,Call your [county elections office](http://www.sos.ca.gov/elections/voting-resources/county-elections-offices/) or call [1-800-345-VOTE (8683)](tel:1-800-345-8683) to have a form sent to you,,,2. Fill out the form,"**Step 1** · Mark the boxes to indicate you’re a US citizen and will be 18 by Election Day, Nov 8

**Steps 2–4** · Provide your full name

**Steps 5–7** · Provide your address. If you don’t have a street address, use the space to describe where you live.

**Steps 8-9** · Provide your mailing address, if different from above  

**Step 10** · Provide your birthday

**Step 11** · Provide the state (or foreign country) where you were born

**Step 12** · Provide your California driver’s license number or state ID card number. If you don’t have either of these, provide the last 4 digits of your social security number if you have one.

**Step 13** · (Optional) provide your email address

**Step 14** · (Optional) provide your phone number

**Step 15** · Provide your political party preference, or check the box to indicate you don’t have a political party preference

**Step 16** · (Optional) If you want to receive a ballot to vote by mail instead of at the polls on election day, initial the space provided

**Step 17** · If you’re reporting a change in name, address, or political party, provide your previous information

**Step 18** · Sign and date the form

**Step 19** · If you're registering for the first time in California, include a copy of a photo ID, utility bill, bank statement, government check, paycheck, or other government document that shows your name and address

- _If you don’t submit the ID with your application, you’ll have to show ID when you vote_",,3. Send the form,Mail the form by **Oct 24** to your [county elections office](http://www.sos.ca.gov/elections/voting-resources/county-elections-offices/),,,,1. Get the voter registration form,"Pick up the form at your [county elections office](http://www.sos.ca.gov/elections/voting-resources/county-elections-offices/), any Department of Motor Vehicles office, and many post offices, public libraries, and other government offices.",,,2. Fill out the form,"**Step 1** · Mark the boxes to indicate you’re a US citizen and will be 18 by Election Day, Nov 8

**Steps 2–4** · Provide your full name

**Steps 5–7** · Provide your address. If you don’t have a street address, use the space to describe where you live.

**Steps 8–9** · Provide your mailing address, if different from above  

**Step 10** · Provide your birthday

**Step 11** · Provide the state (or foreign country) where you were born

**Step 12** · Provide your California driver’s license number or state ID card number. If you don’t have either of these, provide the last 4 digits of your social security number if you have one.

**Step 13** · (Optional) provide your email address

**Step 14** · (Optional) provide your phone number

**Step 15** · Provide your political party preference, or check the box to indicate you don’t have a political party preference

**Step 16** · (Optional) If you want to receive a ballot to vote by mail instead of at the polls on Election Day, initial the space provided

**Step 17** · If you’re reporting a change in name, address, or political party, provide your previous information

**Step 18** · Sign and date the form",,3. Return the form,Submit the form by **Oct 24** to your [county elections office](http://www.sos.ca.gov/elections/voting-resources/county-elections-offices/),,,Check if you're registered to vote,http://www.sos.ca.gov/elections/registration-status/,"- Be a US citizen
- Live at a California address
- Be 16 years old in order to register, and be 18 by Election Day, Nov 8, in order to vote
- Not be imprisoned or on parole for a felony conviction
- Not currently found to be mentally incompetent by a court of law",2016-10-24,,2016-10-24,2016-10-24
Colorado,Register online,You'll need a Colorado state driver’s license or ID card issued by the Department of Revenue to register online,[Register online](https://www.sos.state.co.us/voter-classic/pages/pub/olvr/verifyNewVoter.xhtml),,,,,1. Get the voter registration form,Download the Colorado voter registration form or call your [County Clerk and Recorder](http://www.sos.state.co.us/pubs/elections/Resources/CountyElectionOffices.html) to have one sent to you,[Get the form](https://www.sos.state.co.us/pubs/elections/vote/VoterRegFormEnglish.pdf),,2. Fill out the form,"**Step 1** · Respond Yes or No to whether you're a citizen

**Steps 2-3** · Provide your name, date of birth and your valid Colorado driver’s license or ID card number. If you don't have one, provide the last 4 digits of your Social Security number.

**Steps 4-6** · Provide the address where you live, your mailing address, and the address you'd like your ballot to be mailed to (if different)

**Step 7** · Provide your political party or that you're unaffiliated

**Step 8** · Provide your previous address, name, or political party (if applicable)

**Step 9** · Sign and date the form

**Step 10** · (Optional) Provide your phone number, gender, and email address

- _If you're voting for the first time and plan to vote by mail, you must include a copy of your ID either with your registration or with your mail ballot_

- _Accepted IDs include a Colorado driver’s license or state ID, US passport, government employee ID, US military ID, utility bill, bank statement, government check, paycheck, Medicare or Medicaid card, birth certificate, veteran’s ID, student ID from a college or university in Colorado, or tribal membership ID_",,3. Send the form,"To automatically receive a ballot in the mail, your completed form must be submitted by **Oct 31** to this address:

Colorado Department of State
Elections Division
1700 Broadway, Suite 200
Denver, CO 80290

For faster processing, mail (or scan and email) your form to your [County Clerk and Recorder](https://www.sos.state.co.us/pubs/elections/Resources/CountyElectionOffices.html)",,,,1. Get the voter registration form,"Voter registration forms are available at your [County Clerk and Recorder](https://www.sos.state.co.us/pubs/elections/Resources/CountyElectionOffices.html) or at other locations such as the Department of Motor Vehicles, offices that provide public assistance, and Armed Forces recruitment offices.

In-person voter registration is also available at voter service and polling centers from **Oct 28** through Election Day, **Nov 8**.",,,2. Fill out the form,"**Step 1** · Respond Yes or No to whether you're a citizen

**Steps 2–3** · Provide your name, date of birth and your valid Colorado driver’s license or ID card number. If you don't have one, provide the last 4 digits of your Social Security number.

**Steps 4–6** · Provide the address where you live, your mailing address, and the address you'd like your ballot to be mailed to (if different)

**Step 7** · Provide your political party or that you're unaffiliated

**Step 8** · Provide your previous address, name, or political party (if applicable)

**Step 9** · Sign and date the form

**Step 10** ·  (Optional) Provide your phone number, gender, and email address",,3. Return the form,"- Return the form to your [County Clerk and Recorder](https://www.sos.state.co.us/pubs/elections/Resources/CountyElectionOffices.html), or at a voter service and polling center, at any time on or before **Nov 8**
- Return the form to any other state agency that provides voter registration forms by **Oct 31**
- Return the form as part of a third-party voter registration drive by **Oct 17**",,,Check if you're registered to vote,https://www.sos.state.co.us/voter-classic/pages/pub/olvr/findVoterReg.xhtml,"- Be a US citizen
- Live at a Colorado address by Oct 17
- Not serving a sentence (including parole) for a felony conviction
- Not currently judged incompetent by a court
- Not claim the right to vote in another state",2016-10-31,,2016-10-31,2016-11-08
Connecticut,Register online,"You'll need a current driver’s license, learner’s permit or non-driver photo ID card issued by the DMV, and a signature on file with DMV",[Register online](https://voterregistration.ct.gov/OLVR/welcome.do),,,,,1. Get the voter registration form,"Download and print the Connecticut voter registration form or get the form from your [local registrar's office](http://www.ct.gov/sots/LIB/sots/ElectionServices/lists/ROVOfficeAddresses.pdf), a public assistance office, public library, or any office that primarily provides services to persons with disabilities",[Get the form](http://www.sots.ct.gov/sots/lib/sots/electionservices/electforms/electforms/voter_reg_card_english_2015.pdf),,2. Fill out the form,"**Step 1a** · Indicate whether this is a new registration, an address change, a name change, or a party enrollment change 

**Step 1b** · Confirm that you're a US citizen and will be at least 18 years old by Nov 8

**Steps 2–3** · Provide your name and date of birth

**Step 4** · Provide your Connecticut driver’s license number or, if you don't have one, the last 4 digits of your Social Security number

**Step 5** · Provide your residential address

**Step 6** · (If applicable) Provide your mailing address (if different)

**Step 7** · (Optional) Provide your telephone number 

**Step 8** · Select your gender

**Step 9** · Indicate whether you want to enroll in a political party, and if so, which one

**Step 10** · (If applicable) Provide the address where you were previously registered or list “None”

**Step 11** · Read the oath. Sign and date the form.  

**Step 12** · Indicate whether you'd like to work at the polls on Election Day, Nov 8

**Step 13** · If you're registering to vote for the first time in your town and you don't include a driver’s license or Social Security number, you must provide a copy of one of the following documents when you register or when you vote:

- _Current photo ID_

- _Current utility bill_

- _Bank statement_

- _Government check_

- _Paycheck_

- _Government document that shows your name and address_",,3. Send the form,"Your completed form must be postmarked or received by **Nov 1** by your [local registrar's office](http://www.ct.gov/sots/LIB/sots/ElectionServices/lists/ROVOfficeAddresses.pdf), a public assistance office, public library, or any office that primarily provides services to persons with disabilities",,,,1. Get the voter registration form,"Pick up the form at your [local registrar's office](http://www.ct.gov/sots/LIB/sots/ElectionServices/lists/ROVOfficeAddresses.pdf), a public assistance office, any office that primarily provides services to persons with disabilities, or a public library",,,2. Fill out the form,"**Step 1a** · Indicate whether this is a new registration, an address change, a name change, or a party enrollment change 

**Step 1b** · Confirm that you're a US citizen and will be at least 18 years old by Nov 8

**Steps 2–3** · Provide your name and date of birth

**Step 4** · Provide your Connecticut driver’s license number or, if you don't have one, the last 4 digits of your Social Security number

**Step 5** · Provide your residential address

**Step 6** · (If applicable) Provide your mailing address (if different)

**Step 7** · (Optional) Provide your telephone number 

**Step 8** · Select your gender

**Step 9** · Indicate whether you want to enroll in a political party, and if so, which one

**Step 10** · (If applicable) Provide the address where you were previously registered or list “None”

**Step 11** · Read the oath. Sign and date the form.  

**Step 12**· Indicate whether you'd like to work at the polls on Election Day",,3. Return the form,"Your completed form must be returned in person by **Nov 1** to your [local registrar's office](http://www.ct.gov/sots/LIB/sots/ElectionServices/lists/ROVOfficeAddresses.pdf), a public assistance office, public library, or any office that primarily provides services to persons with disabilities

If you miss the deadline, you can register to vote in person on **Nov 8** at your [local Election Day registration location](http://www.sots.ct.gov/sots/lib/sots/2015_edr_locations.pdf) 
 
_Your local Election Day registration location is not the same as your polling place_",,,Check if you're registered to vote,http://www.dir.ct.gov/sots/LookUp.aspx,"- Be a US citizen
- Be a resident of a Connecticut town
- Be at least 18 years old by Election Day, Nov 8
- Not be convicted of a felony, or if previously convicted of a felony, have completed your prison sentence and parole and paid all related fines
- Not be mentally incompetent",2016-11-01,,2016-11-01,2016-11-08
Delaware,Register online,"You'll need a Delaware driver’s license number or Delaware ID number. If you don't have one, you'll need your Social Security number to register online.",[Register online](https://ivote.de.gov/voterlogin.aspx),,,,,1. Get the voter registration form,Download and print the form or call the Department of Elections at [(302) 577-3464](tel:302-577-3464) and ask for a form to be mailed to you,[Get the form](http://electionsncc.delaware.gov/vr/stateform.pdf),,2. Fill out the form,"**Step 1** · Confirm that you're a US citizen

**Steps 2–3** · Provide your name and date of birth

**Step 4** · Provide your Delaware driver’s license or ID Number. If you don't have one, provide your Social Security number.

**Step 5** · (Optional) Provide your telephone number 

**Step 6** · Provide your political party affiliation or indicate that you're not affiliated with a political party

**Step 7** · Provide your residential address, and the name of the development, county, and school district you live in

**Step 8** · (Optional) Provide your email address 

**Step 9** · (If applicable) Provide your mailing address (if different)  

**Step 10** · (If applicable) If you’re registered to vote in another state, provide the name and address that you used to register

**Step 11** · Sign and date the form

**Step 12** · If you're registering for the first time in Delaware, you must include a copy of one of the following documents:

- _Current photo ID_

- _Current utility bill_

- _Bank statement_

- _Government check_

- _Paycheck_

- _Other government document that shows your name and address_",,3. Send the form,"Your completed form must be postmarked by **Oct 15** and sent to the Delaware Department of Elections:

Delaware Department of Elections, New Castle County Office
Carvel State Office Building
820 N. French Street, Suite 400
Wilmington, DE 19801-3531",,,,1. Get the voter registration form,"Get the form at the [Department of Elections](http://elections.delaware.gov/locations.shtml), DMV offices (when you apply for, renew, or update your Driver’s License or State ID), State Service Centers such as the Department of Health and Social Services, and many other government offices",,,2. Fill out the form,"**Step 1** · Confirm that you're a US citizen

**Steps 2–3** · Provide your name and date of birth

**Step 4** · Provide your Delaware driver’s license or ID Number. If you don't have one, provide your Social Security number.

**Step 5** · (Optional) Provide your telephone number 

**Step 6** · Provide your political party affiliation or indicate that you're not affiliated with a political party

**Step 7** · Provide your residential address, and the name of the development, county, and school district you live in

**Step 8** · (Optional) Provide your email address 

**Step 9** · (If applicable) Provide your mailing address (if different)  

**Step 10** · (If applicable) If you’re registered to vote in another state, provide the name and address that you used to register

**Step 11** · Sign and date the form",,3. Return the form,"Your completed form must be returned in person by **Oct 15** to the Department of Elections at:

Department of Elections
Carvel State Office Building
820 N. French Street, Suite 400
Wilmington, DE 19801-3531

Or, return it to the other government office where you picked up the form",,,Check if you're registered to vote,https://ivote.de.gov/voterlogin.aspx,"- Be a US citizen
- Be a permanent resident of Delaware
- Be at least 18 years old by Election Day, Nov 8
- Not be judged mentally incompetent by a court
- Not have been convicted of a felony, though you may be eligible to vote if you have been pardoned or you've been released from jail or prison, are no longer on probation, and have paid all fees and costs required by your sentence",2016-10-15,,2016-10-15,2016-10-15
District of Columbia,Register online,You'll need your DMV issued ID number or the last 4 digits of your Social Security number to register online,[Register online](https://www.vote4dc.com/RegisterApply/VoterBasicInfo),,,,,1. Get the voter registration form,Download and print the Washington DC Voter Registration Form or call [(202) 727-2525](tel:202-727-2525) to request one be sent to you by mail,[Get the form](https://www.dcboee.org/pdf_files/Mail_VRForm_HAVA2003.pdf),,2. Fill out the form,"**Step 1** · Confirm that you're a US citizen and indicate whether you'd like to be a poll worker at the next election

**Step 2** · Select your reason for completing this form: new registration, party change, address change; and/or name change

**Step 3** · Select your gender (optional) and provide your name

**Step 4** · Provide your residential address 

**Step 5** · (If applicable) Provide your mailing address (if different)

**Step 6** · Provide your date of birth

**Step 7** · (Optional) Provide your daytime telephone number and email address

**Step 8** · Provide your DMV-issued ID number or the last 4 digits of your Social Security number. If you don't have either, check the box asking for a number to be assigned.           

**Step 9** · Select your party affiliation

**Step 10** · (If necessary) If you have a disability and need help voting, provide your disability

**Step 11** · Provide your primary language if not English

**Step 12** · (If applicable) Provide the name and address on your last registration 

**Step 13** · Sign and date your application 

**Step 14** · If you're registering for the first time, you must provide a copy of one of the following documents showing your name and address when you register or vote:         

- _Government-issued photo ID_

- _Current utility bill_

- _Bank statement_

- _Government check_

- _Paycheck_",,3. Send the form,"Your completed form must be mailed by **Oct 11** and received by **Oct 17**

District Board of Elections and Ethics
441 4th Street NW, Suite 250 North
Washington, DC 20001",,,,1. Get the voter registration form,"Get the form in person at your DC Board of Elections or at other city agencies, like the DMV and the Department of Youth Rehabilitation Services",,,2. Fill out the form,"**Step 1** · Confirm that you're a US citizen and indicate whether you'd like to be a poll worker at the next election

**Step 2** · Select your reason for completing this form: new registration, party change, address change; and/or name change

**Step 3** · Select your gender (optional) and provide your name

**Step 4** · Provide your residential address 

**Step 5** · (If applicable) Provide your mailing address (if different)

**Step 6** · Provide your date of birth 

**Step 7** · (Optional) Provide your daytime telephone number and email address   

**Step 8** · Provide your DMV-issued ID number or the last 4 digits of your Social Security number. If you don't have either, check the box asking for a number to be assigned.           

**Step 9** · Select your party affiliation

**Step 10** · (If necessary) If you have a disability and need help voting, provide your disability

**Step 11** · Provide your primary language if it’s not English

**Step 12** · (If applicable) Provide the name and address on your last registration

**Step 13** · Sign and date your application",,3. Return the form,"- At any of the above agencies by **Oct 11**
- At  your [early voting location](https://www.vote4dc.com/SearchElection/SearchByAddress) between **Oct 29** and **Nov 5**
- At the DC Board of Elections by **Nov 7**
- At your polling place on **Nov 8**.  You'll have to provide one of the following documents with your name and address:
  - _Government-issued photo ID_
  - _Current utility bill_
  - _Bank statement_
  - _Government check_
  - _Paycheck_",,,Check if you're registered to vote,https://www.dcboee.org/voter_info/reg_status/,"- Be a US citizen
- Be 18 years old by Election Day, Nov 8
- Be a resident of DC by Oct 11
- Not be in jail for a felony under DC law
- Not be currently judged incompetent by a court
- Not claim the right to vote in another state or territory",2016-10-11,,2016-10-11,2016-11-08
